level,ug_code,ug_title,code,title
bach,01.00.00,МАТЕМАТИКА И МЕХАНИКА,01.03.01,Математика
bach,01.00.00,МАТЕМАТИКА И МЕХАНИКА,01.03.02,Прикладная математика и информатика
bach,01.00.00,МАТЕМАТИКА И МЕХАНИКА,01.03.03,Механика и математическое моделирование
bach,01.00.00,МАТЕМАТИКА И МЕХАНИКА,01.03.04,Прикладная математика
bach,01.00.00,МАТЕМАТИКА И МЕХАНИКА,01.03.05,Статистика
bach,02.00.00,КОМПЬЮТЕРНЫЕ И ИНФОРМАЦИОННЫЕ НАУКИ,02.03.01,Математика и компьютерные науки
bach,02.00.00,КОМПЬЮТЕРНЫЕ И ИНФОРМАЦИОННЫЕ НАУКИ,02.03.02,Фундаментальная информатика и информационные технологии
bach,02.00.00,КОМПЬЮТЕРНЫЕ И ИНФОРМАЦИОННЫЕ НАУКИ,02.03.03,Математическое обеспечение и администрирование информационных систем
bach,03.00.00,ФИЗИКА И АСТРОНОМИЯ,03.03.01,Прикладные математика и физика
bach,03.00.00,ФИЗИКА И АСТРОНОМИЯ,03.03.02,Физика
bach,03.00.00,ФИЗИКА И АСТРОНОМИЯ,03.03.03,Радиофизика
bach,04.00.00,ХИМИЯ,04.03.01,Химия
bach,04.00.00,ХИМИЯ,04.03.02,"Химия, физика и механика материалов"
bach,05.00.00,НАУКИ О ЗЕМЛЕ,05.03.01,Геология
bach,05.00.00,НАУКИ О ЗЕМЛЕ,05.03.02,География
bach,05.00.00,НАУКИ О ЗЕМЛЕ,05.03.03,Картография и геоинформатика
bach,05.00.00,НАУКИ О ЗЕМЛЕ,05.03.04,Гидрометеорология
bach,05.00.00,НАУКИ О ЗЕМЛЕ,05.03.05,Прикладная гидрометеорология
bach,05.00.00,НАУКИ О ЗЕМЛЕ,05.03.06,Экология и природопользование
bach,06.00.00,БИОЛОГИЧЕСКИЕ НАУКИ,06.03.01,Биология
bach,06.00.00,БИОЛОГИЧЕСКИЕ НАУКИ,06.03.02,Почвоведение
bach,07.00.00,АРХИТЕКТУРА,07.03.01,Архитектура
bach,07.00.00,АРХИТЕКТУРА,07.03.02,Реконструкция и реставрация архитектурного наследия
bach,07.00.00,АРХИТЕКТУРА,07.03.03,Дизайн архитектурной среды
bach,07.00.00,АРХИТЕКТУРА,07.03.04,Градостроительство
bach,08.00.00,ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА,08.03.01,Строительство
bach,09.00.00,ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА,09.03.01,Информатика и вычислительная техника
bach,09.00.00,ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА,09.03.02,Информационные системы и технологии
bach,09.00.00,ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА,09.03.03,Прикладная информатика
bach,09.00.00,ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА,09.03.04,Программная инженерия
bach,10.00.00,ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ,10.03.01,Информационная безопасность
bach,11.00.00,"ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ",11.03.01,Радиотехника
bach,11.00.00,"ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ",11.03.02,Инфокоммуникационные технологии и системы связи
bach,11.00.00,"ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ",11.03.03,Конструирование и технология электронных средств
bach,11.00.00,"ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ",11.03.04,Электроника и наноэлектроника
bach,12.00.00,"ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ",12.03.01,Приборостроение
bach,12.00.00,"ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ",12.03.02,Оптотехника
bach,12.00.00,"ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ",12.03.03,Фотоника и оптоинформатика
bach,12.00.00,"ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ",12.03.04,Биотехнические системы и технологии
bach,12.00.00,"ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ",12.03.05,Лазерная техника и лазерные технологии
bach,13.00.00,ЭЛЕКТРО - И ТЕПЛОЭНЕРГЕТИКА,13.03.01,Теплоэнергетика и теплотехника
bach,13.00.00,ЭЛЕКТРО - И ТЕПЛОЭНЕРГЕТИКА,13.03.02,Электроэнергетика и электротехника
bach,13.00.00,ЭЛЕКТРО - И ТЕПЛОЭНЕРГЕТИКА,13.03.03,Энергетическое машиностроение
bach,14.00.00,ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ,14.03.01,Ядерная энергетика и теплофизика
